,coef,std_err,z,p_value,ci_low,ci_high,train_deals,premium_%,ppm2_400m2_2025Q4
الرياض/شرق الرياض,-1.2771624508422015,0.05024912984375886,-25.41660830373225,1.6526138013103517e-142,-1.3756507453359688,-1.1786741563484342,9010,-70.60171794677986,648.5936982002912
الرياض/طويق,0.3822106334360709,0.05097162907464262,7.498497504883813,6.455348124204107e-14,0.2823062404497714,0.4821150264223705,2637,54.51780359934957,3409.0180335320238
الرياض/طيبة,-0.014975091706711229,0.054147656489465165,-0.2765602923115379,0.7821177579419167,-0.12110449842606295,0.0911543150126405,544,3.868284182438364,2291.5731756586533
الرياض/عتيقة,-0.18242888694546197,0.0692137619780545,-2.635731417161004,0.008395615557617402,-0.31808786042244874,-0.04676991346847517,221,-12.146574807821809,1938.248563021593
الرياض/عرقة,1.0012886031976613,0.05322600709207769,18.812017994614816,6.0201882324424e-79,0.896965629297189,1.1056115770981336,769,186.97275849343023,6331.278895040237
الرياض/عرقه,1.1506775662113737,0.06361162315909795,18.089108704763493,3.883164676219541e-73,1.0259987848195418,1.2753563476032057,67,233.2111110172328,7351.40326856011
الرياض/عريض,-0.9231216837829723,0.05011963235025828,-18.418365029731014,9.358788795266671e-76,-1.0213561631894785,-0.8248872043764661,11009,-58.1129375935286,924.124908516002
الرياض/عكاظ,0.0449537758667794,0.051080361810893815,0.880059856138141,0.3788268846647891,-0.05516373328257247,0.14507128501613126,2013,10.283295174469597,2433.103068316492
الرياض/عليشة,0.23147993469249872,0.11738524480203588,1.9719679000787331,0.04861327105508053,0.0014048548805083994,0.46155501450448905,63,32.89756248868674,2932.025802742448
الرياض/غبيراء,-0.17917145936415865,0.06457148929534459,-2.7747766284999775,0.005523963346829223,-0.30573157838303405,-0.05261134034528325,240,-11.859932031906585,1944.5725617422215
الرياض/غرناطة,0.8203960123437093,0.05880967514469326,13.95001775346039,3.1452709220830375e-44,0.7051290490601105,0.935662975627308,259,139.48593826811333,5283.610453396142
الرياض/قرطبة,0.9442359992956955,0.05144403925801806,18.354624032531174,3.031782721354182e-75,0.84340568234998,1.0450663162414109,1544,171.05850663249674,5980.173907004277
